Wimpy,2,3,1,2,1,3
FrenchguyCH,1,1,3,1,2,4
TwoD,4,5,4,3,4,1
BigCalm,3,6,6,5,6,6
Popey,0,2,2,4,0,0
Rpodcast,0,0,7,7,3,5
Madhens,0,0,8,8,8,8
Bigpod, 0,0,0,0,5,2
UnwiseGeek,0,0,5,6,0,0
Hydromalis,0,0,0,0,7,7
AndCatchFire,0,4,0,0,0,0
